Season,Player,Age,Pos,Tm,GP,G,A,PTS,PlusMinus,PIM,EV,PP,SH,GW,EV,PP,SH,S,SP,TOI 
2013,Zac Dalpe,24,VAN,C,55,4,3,7,-7,6,3,1,0,0,3,0,0,52,7.7,392
2013,Matt Frattin,26,TOT,RW,44,2,5,7,-4,11,1,1,0,0,4,1,0,61,3.3,529
2013,Luke Glendening,24,DET,C,56,1,6,7,-8,22,1,0,0,0,6,0,0,54,1.9,779
2013,Matt Hendricks,32,TOT,C,77,5,2,7,-11,112,4,0,1,1,2,0,0,102,4.9,981
2013,Cody McCormick,30,TOT,C,43,2,5,7,-6,52,2,0,0,0,5,0,0,26,7.7,383
2013,Eric O'Dell,23,WPG,C,30,3,4,7,-2,10,3,0,0,1,4,0,0,17,17.6,291
2013,Tanner Pearson,21,LAK,LW,25,3,4,7,2,8,2,1,0,1,4,0,0,31,9.7,270
2013,Tom Pyatt,26,TBL,C,27,3,4,7,-2,4,3,0,0,1,4,0,0,27,11.1,309
2013,Mark Pysyk,22,BUF,D,44,1,6,7,-11,16,1,0,0,1,4,2,0,51,2,863
2013,Drew Shore,23,FLA,C,24,5,2,7,-1,8,3,1,1,1,2,0,0,23,21.7,288
2013,Kevin Westgarth,29,TOT,RW,48,4,3,7,-4,68,4,0,0,1,3,0,0,31,12.9,312
2013,Victor Bartley,25,NSH,D,50,1,5,6,0,23,1,0,0,0,5,0,0,21,4.8,768
2013,Francis Bouillon,38,MTL,D,52,2,4,6,-5,34,2,0,0,1,3,1,0,34,5.9,920
2013,Connor Carrick,19,WSH,D,34,1,5,6,-9,23,1,0,0,0,5,0,0,26,3.8,543
2013,Keaton Ellerby,25,WPG,D,51,2,4,6,4,2,1,1,0,1,4,0,0,33,6.1,709
2013,Matt Ellis,32,BUF,LW,50,4,2,6,-6,4,4,0,0,0,2,0,0,70,5.7,474
2013,Tim Gleason,31,TOT,D,56,1,5,6,-21,65,1,0,0,0,5,0,0,43,2.3,931
2013,Matt Greene,30,LAK,D,38,2,4,6,6,47,2,0,0,0,4,0,0,38,5.3,604
2013,Mike Hoffman,24,OTT,C,25,3,3,6,-2,2,2,1,0,0,1,2,0,61,4.9,330
2013,Quinton Howden,22,FLA,C,16,4,2,6,0,10,3,0,1,0,2,0,0,23,17.4,220
2013,Nicklas Jensen,20,VAN,LW,17,3,3,6,-1,10,3,0,0,1,2,1,0,30,10,266
2013,Ryan Jones,29,EDM,LW,52,2,4,6,0,40,2,0,0,1,4,0,0,59,3.4,512
2013,Brian Lashoff,23,DET,D,75,1,5,6,-2,36,1,0,0,0,5,0,0,38,2.6,1082
2013,Jordan Leopold,33,STL,D,27,1,5,6,1,6,1,0,0,0,3,2,0,40,2.5,421
2013,Martin Marincin,21,EDM,D,44,0,6,6,-2,16,0,0,0,0,4,1,1,28,0,843
2013,Brandon McMillan,23,PHX,LW,22,2,4,6,0,4,2,0,0,0,4,0,0,35,5.7,277
2013,Adam McQuaid,27,BOS,D,30,1,5,6,12,69,1,0,0,0,5,0,0,25,4,481
2013,J.T. Miller,20,NYR,C,30,3,3,6,-6,18,3,0,0,0,1,2,0,46,6.5,344
2013,Kevan Miller,26,BOS,D,47,1,5,6,20,38,1,0,0,1,5,0,0,41,2.4,821
2013,Adam Pardy,29,WPG,D,60,0,6,6,4,38,0,0,0,0,6,0,0,47,0,865
2013,Dalton Prout,23,CBJ,D,49,2,4,6,-7,37,2,0,0,0,4,0,0,56,3.6,843
2013,Luca Sbisa,24,ANA,D,30,1,5,6,0,43,1,0,0,0,5,0,0,30,3.3,512
2013,Nate Schmidt,22,WSH,D,29,2,4,6,4,6,2,0,0,0,4,0,0,41,4.9,542
2013,Jordan Schroeder,23,VAN,C,25,3,3,6,-7,2,3,0,0,0,2,1,0,25,12,300
2013,Eric Tangradi,24,WPG,LW,55,3,3,6,-6,21,3,0,0,0,3,0,0,52,5.8,475
2013,Ryan White,25,MTL,C,52,2,4,6,-8,50,2,0,0,1,4,0,0,51,3.9,504
2013,Ryan Wilson,26,COL,D,28,0,6,6,1,12,0,0,0,0,6,0,0,23,0,411
2013,Will Acton,26,EDM,C,30,3,2,5,-2,21,3,0,0,1,2,0,0,18,16.7,244
2013,Mike Brown,28,TOT,RW,56,2,3,5,-9,94,2,0,0,0,3,0,0,45,4.4,400
2013,Daniel Carcillo,29,TOT,LW,57,4,1,5,-1,100,4,0,0,2,1,0,0,44,9.1,529
2013,Chris Conner,30,PIT,RW,19,4,1,5,-3,2,4,0,0,0,1,0,0,17,23.5,224
2013,Simon Despres,22,PIT,D,34,0,5,5,4,26,0,0,0,0,4,1,0,41,0,569
2013,Patrick Eaves,29,TOT,RW,30,2,3,5,-7,2,1,1,0,0,1,2,0,53,3.8,338
2013,Mark Fistric,27,ANA,D,34,0,5,5,9,28,0,0,0,0,4,1,0,21,0,524
2013,Filip Forsberg,19,NSH,C,13,1,4,5,-8,4,0,1,0,0,1,3,0,20,5,148
2013,Tim Jackman,32,TOT,RW,36,4,1,5,-3,103,4,0,0,0,1,0,0,46,8.7,256
2013,Jesse Joensuu,26,EDM,LW,42,3,2,5,-16,16,2,1,0,1,2,0,0,41,7.3,392
2013,Ed Jovanovski,37,FLA,D,37,1,4,5,-6,39,1,0,0,0,2,1,1,44,2.3,598
2013,Bracken Kearns,32,SJS,LW,25,3,2,5,-2,6,2,1,0,0,2,0,0,37,8.1,330
2013,Brad Malone,24,COL,C,32,3,2,5,-4,23,3,0,0,0,2,0,0,16,18.8,217
2013,Tye McGinn,23,PHI,LW,18,4,1,5,-1,4,4,0,0,0,1,0,0,16,25,201
2013,Anthony Peluso,24,WPG,RW,53,2,3,5,-5,65,2,0,0,0,3,0,0,24,8.3,306
2013,Corey Potter,30,TOT,D,19,0,5,5,-1,21,0,0,0,0,3,2,0,17,0,262
2013,Taylor Pyatt,32,TOT,LW,56,4,1,5,-24,20,3,1,0,1,1,0,0,52,7.7,648
2013,Nick Schultz,31,TOT,D,69,0,5,5,-13,28,0,0,0,0,4,0,1,35,0,1126
2013,Clayton Stoner,28,MIN,D,63,1,4,5,-6,84,1,0,0,0,4,0,0,48,2.1,840
2013,Raffi Torres,32,SJS,LW,5,3,2,5,4,7,3,0,0,0,2,0,0,9,33.3,52
2013,Linden Vey,22,LAK,RW,18,0,5,5,0,0,0,0,0,0,3,1,1,8,0,218
2013,Jason Zucker,22,MIN,LW,21,4,1,5,2,2,3,1,0,1,0,1,0,40,10,273
2013,Krys Barch,33,FLA,LW,55,0,4,4,-10,99,0,0,0,0,4,0,0,19,0,329
2013,Eric Boulton,37,NYI,LW,23,2,2,4,0,88,2,0,0,0,2,0,0,21,9.5,147
2013,Zach Boychuk,24,CAR,LW,11,1,3,4,2,0,1,0,0,0,3,0,0,15,6.7,112
2013,Carlo Colaiacovo,31,STL,D,25,1,3,4,-4,18,1,0,0,0,2,1,0,18,5.6,379
2013,Jean-Philippe Cote,31,TBL,D,19,0,4,4,0,22,0,0,0,0,4,0,0,12,0,190
2013,Stephane Da Costa,24,OTT,C,12,3,1,4,2,2,2,1,0,0,1,0,0,20,15,125
2013,John Erskine,33,WSH,D,37,1,3,4,-5,56,1,0,0,0,3,0,0,38,2.6,577
2013,Luke Gazdic,24,EDM,LW,67,2,2,4,-8,127,2,0,0,0,2,0,0,30,6.7,389
2013,Peter Harrold,30,NJD,D,33,0,4,4,-2,14,0,0,0,0,4,0,0,32,0,616
2013,Dustin Jeffrey,25,TOT,C,34,2,2,4,-4,2,2,0,0,0,2,0,0,30,6.7,325
2013,Rostislav Klesla,31,PHX,D,25,1,3,4,-3,24,1,0,0,0,3,0,0,22,4.5,388
2013,Mike Komisarek,32,CAR,D,32,0,4,4,-4,14,0,0,0,0,4,0,0,20,0,374
2013,Johan Larsson,21,BUF,LW,28,0,4,4,0,19,0,0,0,0,4,0,0,21,0,377
2013,Michael Latta,22,WSH,C,17,1,3,4,0,12,1,0,0,0,3,0,0,6,16.7,131
2013,Rickard Rakell,20,ANA,C,18,0,4,4,-3,2,0,0,0,0,4,0,0,22,0,211
2013,Zac Rinaldo,23,PHI,C,67,2,2,4,-13,153,2,0,0,1,2,0,0,54,3.7,516
2013,Rasmus Ristolainen,19,BUF,D,34,2,2,4,-15,6,2,0,0,0,2,0,0,52,3.8,650
2013,Bryce Salvador,37,NJD,D,40,1,3,4,-2,29,1,0,0,0,3,0,0,24,4.2,812
2013,Rob Scuderi,35,PIT,D,53,0,4,4,-8,2,0,0,0,0,4,0,0,28,0,1003
2013,Colton Sissons,20,NSH,C,17,1,3,4,0,4,1,0,0,0,3,0,0,13,7.7,181
2013,Jack Skille,26,CBJ,RW,16,4,0,4,2,6,4,0,0,1,0,0,0,23,17.4,139
2013,Stephen Weiss,30,DET,C,26,2,2,4,-4,12,2,0,0,1,1,0,1,28,7.1,384
2013,Tyler Wotherspoon,20,CGY,D,14,0,4,4,-3,4,0,0,0,0,4,0,0,3,0,188
2013,Darren Archibald,23,VAN,RW,16,1,2,3,1,0,1,0,0,0,2,0,0,11,9.1,125
2013,Carter Ashton,22,TOR,RW,32,0,3,3,1,19,0,0,0,0,3,0,0,23,0,201
2013,Chad Billins,24,CGY,D,10,0,3,3,-3,0,0,0,0,0,3,0,0,3,0,122
2013,Matt Carkner,33,NYI,D,53,0,3,3,-10,149,0,0,0,0,3,0,0,50,0,635
2013,Jordan Caron,23,BOS,RW,35,1,2,3,-8,36,1,0,0,0,2,0,0,52,1.9,382
2013,Patrice Cormier,23,WPG,C,9,0,3,3,2,7,0,0,0,0,3,0,0,4,0,63
2013,Jerry D'Amigo,22,TOR,RW,22,1,2,3,-1,0,1,0,0,0,2,0,0,12,8.3,177
2013,Markus Granlund,20,CGY,C,7,2,1,3,2,0,1,0,1,0,1,0,0,9,22.2,85
2013,Mikhail Grigorenko,19,BUF,C,18,2,1,3,-3,2,2,0,0,0,0,1,0,20,10,206
2013,Cam Janssen,29,NJD,RW,24,3,0,3,3,22,3,0,0,0,0,0,0,11,27.3,118
2013,Jacob Josefson,22,NJD,C,27,1,2,3,0,4,0,0,1,0,2,0,0,21,4.8,274
2013,Oscar Klefbom,20,EDM,D,17,1,2,3,-6,0,1,0,0,0,2,0,0,14,7.1,269
2013,Zenon Konopka,33,TOT,C,59,1,2,3,-9,88,1,0,0,0,2,0,0,21,4.8,466
2013,Adam Larsson,21,NJD,D,26,1,2,3,-1,12,1,0,0,1,2,0,0,20,5,462
2013,Radek Martinek,37,NYI,D,13,0,3,3,4,4,0,0,0,0,3,0,0,12,0,201
2013,Aaron Ness,23,NYI,D,20,1,2,3,-13,10,1,0,0,0,2,0,0,23,4.3,296
2013,Joakim Nordstrom,21,CHI,C,16,1,2,3,-2,2,1,0,0,0,2,0,0,26,3.8,187
2013,Shane O'Brien,30,CGY,D,45,0,3,3,-8,58,0,0,0,0,3,0,0,16,0,507
2013,Paul Postma,24,WPG,D,20,1,2,3,1,8,1,0,0,1,2,0,0,19,5.3,323
2013,Zach Redmond,25,WPG,D,10,1,2,3,1,0,1,0,0,0,2,0,0,10,10,153
2013,Mikael Samuelsson,37,DET,RW,26,1,2,3,-4,6,1,0,0,0,0,2,0,36,2.8,269
2013,Tim Sestito,29,NJD,LW,16,0,3,3,1,2,0,0,0,0,3,0,0,13,0,146
2013,Chris Summers,25,PHX,D,18,2,1,3,0,15,2,0,0,0,1,0,0,17,11.8,269
2013,Jordan Szwarz,22,PHX,RW,26,3,0,3,-6,19,3,0,0,1,0,0,0,25,12,225
2013,Stephane Veilleux,32,MIN,LW,34,3,0,3,-2,21,3,0,0,0,0,0,0,26,11.5,287
2013,Casey Wellman,26,WSH,C,13,2,1,3,3,0,2,0,0,0,1,0,0,15,13.3,122
2013,Patrick Wey,22,WSH,D,9,0,3,3,0,5,0,0,0,0,3,0,0,5,0,131
2013,Kenny Agostino,21,CGY,LW,8,1,1,2,-2,0,1,0,0,0,1,0,0,12,8.3,89
2013,Nathan Beaulieu,21,MTL,D,17,0,2,2,6,8,0,0,0,0,2,0,0,15,0,225
2013,Jared Boll,27,CBJ,RW,28,1,1,2,-6,62,1,0,0,0,1,0,0,12,8.3,214
2013,Christopher Breen,24,CGY,D,9,0,2,2,1,5,0,0,0,0,2,0,0,4,0,84
2013,Julien Brouillette,27,WSH,D,10,1,1,2,3,0,1,0,0,1,1,0,0,4,25,156
2013,Chris Brown,22,TOT,C,12,1,1,2,0,17,1,0,0,0,1,0,0,8,12.5,104
2013,Adam Cracknell,28,STL,RW,19,0,2,2,0,0,0,0,0,0,2,0,0,16,0,155
2013,Kevin Czuczman,23,NYI,D,13,0,2,2,-5,14,0,0,0,0,2,0,0,24,0,254
2013,Mathew Dumba,19,MIN,D,13,1,1,2,-5,2,0,1,0,0,0,1,0,12,8.3,162
2013,Cory Emmerton,25,DET,C,18,0,2,2,-2,4,0,0,0,0,2,0,0,22,0,161
2013,Justin Falk,25,NYR,D,21,0,2,2,-5,20,0,0,0,0,2,0,0,10,0,252
2013,Taylor Fedun,25,EDM,D,4,2,0,2,-1,0,2,0,0,0,0,0,0,6,33.3,49
2013,Justin Florek,23,BOS,LW,4,1,1,2,1,0,1,0,0,0,1,0,0,5,20,47
2013,Colin Fraser,29,LAK,C,33,0,2,2,-4,30,0,0,0,0,2,0,0,22,0,297
2013,Mark Fraser,27,TOT,D,42,1,1,2,-15,76,1,0,0,0,1,0,0,11,9.1,646
2013,Matt Fraser,23,BOS,RW,14,2,0,2,0,10,2,0,0,0,0,0,0,13,15.4,135
2013,Matt Gilroy,29,FLA,D,16,1,1,2,-2,6,1,0,0,0,1,0,0,27,3.7,260
2013,Alex Grant,25,ANA,D,2,2,0,2,3,2,2,0,0,0,0,0,0,2,100,24
2013,Derek Grant,23,OTT,C,20,0,2,2,-3,4,0,0,0,0,2,0,0,31,0,191
2013,Ben Hanowski,23,CGY,RW,11,0,2,2,-2,2,0,0,0,0,2,0,0,10,0,80
2013,Dmitrij Jaskin,20,STL,RW,18,1,1,2,-3,8,1,0,0,0,1,0,0,18,5.6,191
2013,Blair Jones,27,CGY,C,14,2,0,2,0,21,1,0,1,0,0,0,0,14,14.3,159
2013,Matt Kassian,27,OTT,LW,33,1,1,2,-1,63,1,0,0,0,1,0,0,12,8.3,146
2013,Chuck Kobasew,31,PIT,RW,33,2,0,2,1,15,2,0,0,2,0,0,0,37,5.4,370
2013,Josh Leivo,20,TOR,RW,7,1,1,2,0,0,1,0,0,0,1,0,0,4,25,69
2013,Lane MacDermid,24,TOT,LW,7,0,2,2,1,12,0,0,0,0,2,0,0,1,0,39
2013,John McCarthy,27,SJS,C,36,1,1,2,-11,4,1,0,0,0,1,0,0,49,2,398
2013,Andy Miele,25,PHX,C,7,0,2,2,4,5,0,0,0,0,2,0,0,6,0,65
2013,Simon Moser,24,NSH,LW,6,1,1,2,0,2,1,0,0,0,1,0,0,7,14.3,61
2013,Douglas Murray,33,MTL,D,53,0,2,2,-12,42,0,0,0,0,2,0,0,26,0,761
2013,Rostislav Olesz,28,NJD,LW,10,0,2,2,-1,0,0,0,0,0,1,1,0,9,0,114
2013,Linus Omark,26,TOT,LW,14,0,2,2,-6,6,0,0,0,0,0,2,0,10,0,175
2013,Jean-Gabriel Pageau,21,OTT,C,28,2,0,2,-5,12,2,0,0,0,0,0,0,31,6.5,287
2013,Steve Pinizzotto,29,EDM,RW,6,0,2,2,-1,15,0,0,0,0,2,0,0,2,0,58
2013,Max Reinhart,21,CGY,C,8,0,2,2,1,2,0,0,0,0,2,0,0,7,0,86
2013,Colby Robak,23,FLA,D,16,0,2,2,-4,6,0,0,0,0,1,0,1,15,0,297
2013,Jay Rosehill,28,PHI,LW,34,2,0,2,-8,90,2,0,0,0,0,0,0,14,14.3,168
2013,Jim Slater,31,WPG,C,27,1,1,2,-5,8,1,0,0,0,1,0,0,24,4.2,287
2013,Tyson Strachan,29,WSH,D,18,0,2,2,-2,28,0,0,0,0,2,0,0,7,0,312
2013,Alexander Sulzer,29,BUF,D,25,0,2,2,-3,8,0,0,0,0,0,1,1,21,0,453
2013,Brett Sutter,26,CAR,C,17,1,1,2,-4,9,1,0,0,1,1,0,0,16,6.3,129
2013,Chris Terry,24,CAR,LW,10,0,2,2,-4,0,0,0,0,0,0,2,0,13,0,121
2013,Jarred Tinordi,21,MTL,D,22,0,2,2,-2,40,0,0,0,0,2,0,0,10,0,320
2013,Alexander Urbom,23,WSH,D,20,1,1,2,1,19,1,0,0,0,0,0,1,16,6.3,292
2013,Philip Varone,23,BUF,C,9,1,1,2,-3,4,1,0,0,0,1,0,0,15,6.7,103
2013,Aaron Volpatti,28,WSH,LW,41,2,0,2,-3,49,2,0,0,0,0,0,0,18,11.1,302
2013,David Warsofsky,23,BOS,D,6,1,1,2,1,0,1,0,0,0,1,0,0,10,10,97
2013,James Wright,23,WPG,C,59,0,2,2,-3,15,0,0,0,0,2,0,0,41,0,565
2013,Harry Zolnierczyk,26,PIT,LW,13,2,0,2,0,12,2,0,0,0,0,0,0,12,16.7,132
2013,Luke Adam,23,BUF,C,12,1,0,1,0,4,1,0,0,0,0,0,0,16,6.3,154
2013,Jason Akeson,23,PHI,RW,1,0,1,1,1,0,0,0,0,0,1,0,0,2,0,13
2013,John Albert,25,WPG,C,9,1,0,1,-3,0,1,0,0,0,0,0,0,5,20,46
2013,Adam Almqvist,22,DET,D,2,1,0,1,-1,0,1,0,0,0,0,0,0,2,50,34
2013,Keith Aulie,24,TBL,D,15,0,1,1,-3,9,0,0,0,0,1,0,0,6,0,147
2013,Jonathon Blum,25,MIN,D,15,0,1,1,-1,0,0,0,0,0,1,0,0,11,0,175
2013,Mark Borowiecki,24,OTT,D,13,1,0,1,-2,48,1,0,0,0,0,0,0,6,16.7,164
2013,David Broll,21,TOR,LW,5,0,1,1,1,5,0,0,0,0,1,0,0,3,0,41
2013,Bobby Butler,26,FLA,RW,2,0,1,1,1,2,0,0,0,0,1,0,0,5,0,28
2013,Matt Carey,21,CHI,LW,2,1,0,1,-1,2,1,0,0,0,0,0,0,1,100,19
2013,Michael Chaput,21,CBJ,C,17,0,1,1,0,2,0,0,0,0,1,0,0,6,0,151
2013,Sean Collins,25,CBJ,C,6,0,1,1,1,0,0,0,0,0,1,0,0,6,0,49
2013,Brett Connolly,21,TBL,RW,11,1,0,1,-5,4,1,0,0,1,0,0,0,12,8.3,132
2013,Frank Corrado,20,VAN,D,15,1,0,1,-2,4,1,0,0,0,0,0,0,20,5,188
2013,Joey Crabb,30,FLA,RW,9,0,1,1,-2,7,0,0,0,0,1,0,0,5,0,129
2013,Nicolas Deslauriers,22,BUF,LW,17,1,0,1,-10,18,1,0,0,0,0,0,0,30,3.3,223
2013,Brian Dumoulin,22,PIT,D,6,0,1,1,1,4,0,0,0,0,1,0,0,3,0,115
2013,Ben Eager,30,EDM,LW,7,0,1,1,1,2,0,0,0,0,1,0,0,4,0,51
2013,Andrew Ebbett,31,PIT,C,9,0,1,1,-4,0,0,0,0,0,1,0,0,9,0,99
2013,Stefan Elliott,23,COL,D,1,1,0,1,0,0,1,0,0,0,0,0,0,1,100,17
2013,Christian Folin,22,MIN,D,1,0,1,1,3,0,0,0,0,0,1,0,0,0,,19
2013,Maxime Fortunus,30,DAL,D,1,0,1,1,1,0,0,0,0,0,1,0,0,0,,16
2013,John Gaudreau,20,CGY,LW,1,1,0,1,1,0,1,0,0,0,0,0,0,1,100,15
2013,Denis Grebeshkov,30,EDM,D,7,0,1,1,0,2,0,0,0,0,1,0,0,3,0,96
2013,Mike Halmo,22,NYI,LW,20,1,0,1,-1,32,1,0,0,0,0,0,0,25,4,190
2013,Eriah Hayes,25,SJS,RW,15,1,0,1,-2,2,1,0,0,0,0,0,0,17,5.9,118
2013,Jack Hillen,28,WSH,D,13,0,1,1,-4,4,0,0,0,0,1,0,0,12,0,238
2013,Roman Horak,22,TOT,C,3,1,0,1,-1,0,1,0,0,0,0,0,0,2,50,28
2013,Carl Klingberg,23,WPG,LW,3,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,27
2013,Corban Knight,23,CGY,C,7,1,0,1,-1,0,1,0,0,0,0,0,0,4,25,56
2013,Dmitry Korobov,24,TBL,D,3,0,1,1,0,2,0,0,0,0,1,0,0,0,,32
2013,Kellan Lain,24,VAN,LW,9,1,0,1,1,21,1,0,0,0,0,0,0,7,14.3,47
2013,Anton Lander,22,EDM,C,27,0,1,1,-10,4,0,0,0,0,1,0,0,18,0,368
2013,Jake McCabe,20,BUF,D,7,0,1,1,-3,15,0,0,0,0,1,0,0,1,0,107
2013,Travis Morin,30,DAL,C,4,0,1,1,2,0,0,0,0,0,1,0,0,4,0,41
2013,Kris Newbury,31,PHI,C,4,0,1,1,0,7,0,0,0,0,1,0,0,1,0,20
2013,Cedric Paquette,20,TBL,C,2,0,1,1,1,0,0,0,0,0,1,0,0,1,0,29
2013,George Parros,34,MTL,RW,22,0,1,1,-6,85,0,0,0,0,1,0,0,4,0,100
2013,Matt Pelech,26,SJS,RW,6,1,0,1,1,22,1,0,0,1,0,0,0,3,33.3,24
2013,John Persson,21,NYI,LW,10,1,0,1,-4,6,1,0,0,0,0,0,0,16,6.3,120
2013,Alex Petrovic,21,FLA,D,7,0,1,1,3,8,0,0,0,0,1,0,0,4,0,86
2013,Tyler Pitlick,22,EDM,C,10,1,0,1,-2,0,1,0,0,0,0,0,0,9,11.1,90
2013,Chris Porter,29,STL,LW,22,0,1,1,-3,0,0,0,0,0,1,0,0,24,0,228
2013,Kevin Porter,27,BUF,C,12,0,1,1,-5,2,0,0,0,0,1,0,0,3,0,140
2013,Aaron Rome,30,DAL,D,25,0,1,1,-6,11,0,0,0,0,1,0,0,15,0,327
2013,Chad Ruhwedel,23,BUF,D,21,0,1,1,-3,2,0,0,0,0,0,1,0,35,0,375
2013,David Rundblad,23,TOT,D,17,0,1,1,-4,6,0,0,0,0,0,1,0,21,0,234
2013,Mike Rupp,34,MIN,LW,13,0,1,1,1,23,0,0,0,0,1,0,0,6,0,81
2013,John Scott,31,BUF,LW,56,1,0,1,-12,125,1,0,0,0,0,0,0,16,6.3,378
2013,Derek Smith,29,CGY,D,14,0,1,1,-10,2,0,0,0,0,1,0,0,12,0,133
2013,Ben Street,26,CGY,C,13,0,1,1,-2,4,0,0,0,0,1,0,0,17,0,138
2013,Johan Sundstrom,21,NYI,C,11,0,1,1,0,6,0,0,0,0,1,0,0,13,0,95
2013,Mattias Tedenby,23,NJD,RW,15,1,0,1,-8,10,1,0,0,0,0,0,0,9,11.1,150
2013,Jordin Tootoo,30,DET,RW,11,0,1,1,-3,5,0,0,0,0,1,0,0,11,0,77
2013,Chris VandeVelde,26,PHI,C,18,0,1,1,-3,6,0,0,0,0,0,1,0,8,0,139
2013,Jeremy Welsh,25,VAN,C,19,1,0,1,-1,6,1,0,0,0,0,0,0,13,7.7,130
2013,Nolan Yonkman,32,ANA,D,2,0,1,1,-1,0,0,0,0,0,1,0,0,3,0,30
2013,Nikita Zadorov,18,BUF,D,7,1,0,1,-4,4,1,0,0,0,0,0,0,4,25,120
2013,Michael Zalewski,21,VAN,LW,2,0,1,1,2,0,0,0,0,0,0,1,0,2,0,24
2013,Spencer Abbott,25,TOR,RW,1,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,5
2013,Andrew Alberts,32,VAN,D,10,0,0,0,1,0,0,0,0,0,0,0,0,5,0,74
2013,Conor Allen,24,NYR,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,43
2013,Bill Arnold,21,CGY,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14
2013,Arron Asham,35,NYR,RW,6,0,0,0,-5,14,0,0,0,0,0,0,0,1,0,45
2013,Keith Aucoin,35,STL,C,2,0,0,0,-3,0,0,0,0,0,0,0,0,1,0,27
2013,Cody Bass,27,CBJ,C,1,0,0,0,0,5,0,0,0,0,0,0,0,0,,3
2013,Taylor Beck,22,NSH,RW,7,0,0,0,-2,6,0,0,0,0,0,0,0,9,0,90
2013,Mike Blunden,27,MTL,RW,7,0,0,0,-2,5,0,0,0,0,0,0,0,2,0,43
2013,Gilbert Brule,27,PHX,C,3,0,0,0,-1,2,0,0,0,0,0,0,0,3,0,35
2013,Brett Bulmer,21,MIN,RW,5,0,0,0,-2,2,0,0,0,0,0,0,0,7,0,53
2013,Adam Burish,31,SJS,RW,15,0,0,0,-4,6,0,0,0,0,0,0,0,9,0,144
2013,Mitch Callahan,22,DET,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,9
2013,Andrew Campbell,25,LAK,D,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,38
2013,Paul Carey,25,COL,C,12,0,0,0,2,0,0,0,0,0,0,0,0,6,0,77
2013,Ben Chiarot,22,WPG,D,1,0,0,0,-3,0,0,0,0,0,0,0,0,0,,11
2013,Ryan Craig,32,CBJ,C,6,0,0,0,-3,0,0,0,0,0,0,0,0,4,0,42
2013,Mark Cundari,23,CGY,D,4,0,0,0,-4,0,0,0,0,0,0,0,0,6,0,43
2013,Craig Cunningham,23,BOS,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19
2013,Nicolas Deschamps,24,WSH,C,3,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,20
2013,Jamie Devane,22,TOR,LW,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,12
2013,Jake Dowell,28,MIN,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,7
2013,Nick Drazenovic,27,PIT,C,1,0,0,0,-1,2,0,0,0,0,0,0,0,3,0,10
2013,Gabriel Dumont,23,MTL,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14
2013,Tim Erixon,22,CBJ,D,2,0,0,0,2,2,0,0,0,0,0,0,0,1,0,29
2013,Jesper Fast,22,NYR,RW,11,0,0,0,-5,2,0,0,0,0,0,0,0,7,0,124
2013,Landon Ferraro,22,DET,C,4,0,0,0,0,2,0,0,0,0,0,0,0,2,0,36
2013,Benn Ferriero,26,VAN,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,9
2013,Brett Gallant,25,NYI,LW,4,0,0,0,0,17,0,0,0,0,0,0,0,3,0,28
2013,Cameron Gaunce,23,DAL,D,9,0,0,0,1,7,0,0,0,0,0,0,0,9,0,125
2013,Hal Gill,38,PHI,D,6,0,0,0,0,2,0,0,0,0,0,0,0,1,0,89
2013,Cody Goloubef,24,CBJ,D,5,0,0,0,0,2,0,0,0,0,0,0,0,4,0,49
2013,Brandon Gormley,21,PHX,D,5,0,0,0,4,2,0,0,0,0,0,0,0,4,0,73
2013,Petter Granberg,21,TOR,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,12
2013,Freddie Hamilton,22,SJS,C,11,0,0,0,-5,2,0,0,0,0,0,0,0,13,0,114
2013,Ryan Hamilton,28,EDM,LW,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,,20
2013,Patrick Holland,22,MTL,RW,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,38
2013,Brad Hunt,25,EDM,D,3,0,0,0,-3,0,0,0,0,0,0,0,0,1,0,38
2013,Matt Hunwick,28,COL,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17
2013,Justin Johnson,32,NYI,RW,2,0,0,0,-1,7,0,0,0,0,0,0,0,0,,13
2013,Nick Johnson,28,BOS,RW,9,0,0,0,-4,0,0,0,0,0,0,0,0,10,0,87
2013,Patrick Kaleta,27,BUF,RW,5,0,0,0,-1,5,0,0,0,0,0,0,0,0,,42
2013,Alexander Khokhlachev,20,BOS,C,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,15
2013,Cody Kunyk,23,TBL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10
