Season,Player,Age,Pos,Tm,GP,G,A,PTS,PlusMinus,PIM,EV,PP,SH,GW,EV,PP,SH,S,SP,TOI
2015,John Moore,25,D,NJD,73,4,15,19,-12,28,3,1,0,3,10,5,0,106,3.8,1448
2015,Kris Russell,28,D,TOT,62,4,15,19,-5,10,2,2,0,1,13,2,0,70,5.7,1431
2015,Jay Bouwmeester,32,D,STL,72,3,16,19,-4,18,2,1,0,0,15,1,0,105,2.9,1664
2015,Nathan Beaulieu,23,D,MTL,64,2,17,19,-6,55,1,1,0,0,15,2,0,74,2.7,1117
2015,Dennis Wideman,32,D,CGY,51,2,17,19,-9,30,0,2,0,0,11,6,0,75,2.7,1051
2015,Paul Byron,26,C,MTL,62,11,7,18,-9,11,8,0,3,2,5,0,2,50,22,853
2015,David Jones,31,RW,TOT,75,11,7,18,-7,10,10,1,0,2,7,0,0,84,13.1,933
2015,Vincent Lecavalier,35,C,TOT,49,10,8,18,0,22,4,6,0,0,7,1,0,67,14.9,649
2015,Michael Grabner,28,RW,TOR,80,9,9,18,-4,12,8,0,1,2,9,0,0,116,7.8,1158
2015,Jared McCann,19,C,VAN,69,9,9,18,-6,32,8,1,0,1,7,2,0,106,8.5,864
2015,Mike Santorelli,30,C,ANA,70,9,9,18,-4,8,8,1,0,1,7,2,0,81,11.1,706
2015,Zemgus Girgensons,22,C,BUF,71,7,11,18,0,20,6,1,0,1,9,1,1,110,6.4,1068
2015,Jon Marchessault,25,C,TBL,45,7,11,18,-10,17,3,4,0,1,8,3,0,81,8.6,544
2015,Tommy Wingels,27,C,SJS,68,7,11,18,-10,63,6,1,0,0,7,2,2,111,6.3,927
2015,Matt Bartkowski,27,D,VAN,80,6,12,18,-19,50,6,0,0,0,12,0,0,85,7.1,1490
2015,Kevan Miller,28,D,BOS,71,5,13,18,15,53,5,0,0,0,12,1,0,64,7.8,1353
2015,Micheal Ferland,23,LW,CGY,71,4,14,18,-15,45,3,1,0,0,13,1,0,122,3.3,896
2015,Justin Schultz,25,D,TOT,63,4,14,18,-15,16,2,2,0,0,8,6,0,82,4.9,1162
2015,Chris Tanev,26,D,VAN,69,4,14,18,-8,8,2,2,0,0,12,1,1,42,9.5,1501
2015,Adam Larsson,23,D,NJD,82,3,15,18,15,77,3,0,0,1,14,0,1,65,4.6,1846
2015,Patrick Eaves,31,RW,DAL,54,11,6,17,-5,27,6,5,0,2,4,2,0,86,12.8,700
2015,Johan Larsson,23,LW,BUF,74,10,7,17,-4,27,9,1,0,5,4,3,0,95,10.5,1097
2015,Jay Beagle,30,RW,WSH,57,8,9,17,0,24,8,0,0,1,9,0,0,74,10.8,799
2015,Matthew Nieto,23,LW,SJS,67,8,9,17,-8,10,6,0,2,1,8,1,0,90,8.9,882
2015,Sven Andrighetto,22,RW,MTL,44,7,10,17,1,6,6,1,0,0,9,1,0,74,9.5,621
2015,Phillip Di Giuseppe,22,LW,CAR,41,7,10,17,0,18,7,0,0,1,10,0,0,68,10.3,585
2015,Adam Lowry,22,C,WPG,74,7,10,17,-9,53,7,0,0,2,10,0,0,73,9.6,1037
2015,Thomas Hickey,26,D,NYI,62,6,11,17,9,30,6,0,0,2,11,0,0,55,10.9,1079
2015,Connor Murphy,22,D,ARI,78,6,11,17,5,48,5,1,0,1,9,2,0,101,5.9,1599
2015,Shane Prince,23,LW,TOT,62,6,11,17,5,10,6,0,0,1,11,0,0,88,6.8,696
