"","Team","GM","Team.Payroll","Winning..","Year","Wins","Median.Payroll.by.Year"
"444","Seattle Mariners","Pat Gillick",80282668,0.574,2002,93,61107577
"445","Seattle Mariners","Pat Gillick",86959167,0.574,2003,93,68979834
"446","Seattle Mariners","Bill Bavasi",81543833,0.389,2004,63,62207785
"447","Seattle Mariners","Bill Bavasi",85883333,0.426,2005,69,66007009
"448","Seattle Mariners","Bill Bavasi",87959833,0.481,2006,78,72250291
"449","Seattle Mariners","Bill Bavasi",106460833,0.543,2007,88,84616817
"450","Seattle Mariners","Bill Bavasi",117666482,0.377,2008,61,79953783
"451","Seattle Mariners","Jack Zduriencik",98904167,0.525,2009,85,81309612
"452","Seattle Mariners","Jack Zduriencik",98376667,0.377,2010,61,84325334
"453","Seattle Mariners","Jack Zduriencik",86424600,0.414,2011,67,86713896
"454","Seattle Mariners","Jack Zduriencik",81978100,0.463,2012,75,85753488
"455","Seattle Mariners","Jack Zduriencik",72031143,0.438,2013,71,90385763
"456","Seattle Mariners","Jack Zduriencik",92081943,0.537,2014,87,105625715
"457","Seattle Mariners","Jack Zduriencik",126031265,0.469,2015,76,122453376
"458","St. Louis Cardinals","Walt Jocketty",44090854,0.512,1998,83,43894495
"459","St. Louis Cardinals","Walt Jocketty",46173195,0.466,1999,75,46066376
"460","St. Louis Cardinals","Walt Jocketty",61453863,0.586,2000,95,56543084
"461","St. Louis Cardinals","Walt Jocketty",77270855,0.574,2001,93,62847834
"462","St. Louis Cardinals","Walt Jocketty",74098267,0.599,2002,97,61107577
"463","St. Louis Cardinals","Walt Jocketty",83486666,0.525,2003,85,68979834
"464","St. Louis Cardinals","Walt Jocketty",75633517,0.648,2004,105,62207785
"465","St. Louis Cardinals","Walt Jocketty",93319842,0.617,2005,100,66007009
"466","St. Louis Cardinals","Walt Jocketty",88891371,0.516,2006,84,72250291
"467","St. Louis Cardinals","Walt Jocketty",90286823,0.481,2007,78,84616817
"468","St. Louis Cardinals","John Mozeliak",99624449,0.531,2008,86,79953783
"469","St. Louis Cardinals","John Mozeliak",88528411,0.562,2009,91,81309612
"470","St. Louis Cardinals","John Mozeliak",93540753,0.531,2010,86,84325334
"471","St. Louis Cardinals","John Mozeliak",105433572,0.556,2011,90,86713896
"472","St. Louis Cardinals","John Mozeliak",110300862,0.543,2012,88,85753488
"473","St. Louis Cardinals","John Mozeliak",115222086,0.599,2013,97,90385763
"474","St. Louis Cardinals","John Mozeliak",111020360,0.556,2014,90,105625715
"475","St. Louis Cardinals","John Mozeliak",132178951,0.617,2015,100,122453376
"476","Tampa Bay Rays","Chuck LaMar",27370000,0.389,1998,63,43894495
"477","Tampa Bay Rays","Chuck LaMar",38027500,0.426,1999,69,46066376
"478","Tampa Bay Rays","Chuck LaMar",62765129,0.429,2000,69,56543084
"479","Tampa Bay Rays","Chuck LaMar",54951602,0.383,2001,62,62847834
"480","Tampa Bay Rays","Chuck LaMar",34380000,0.342,2002,55,61107577
"481","Tampa Bay Rays","Chuck LaMar",19630000,0.389,2003,63,68979834
"482","Tampa Bay Rays","Chuck LaMar",29506667,0.435,2004,70,62207785
"483","Tampa Bay Rays","Chuck LaMar",29893567,0.414,2005,67,66007009
"484","Tampa Bay Rays","Andrew Friedman",35417967,0.377,2006,61,72250291
"485","Tampa Bay Rays","Andrew Friedman",24123500,0.407,2007,66,84616817
"486","Tampa Bay Rays","Andrew Friedman",43820597,0.599,2008,97,79953783
"487","Tampa Bay Rays","Andrew Friedman",63313035,0.519,2009,84,81309612
"488","Tampa Bay Rays","Andrew Friedman",71923471,0.593,2010,96,84325334
"489","Tampa Bay Rays","Andrew Friedman",41932171,0.562,2011,91,86713896
"490","Tampa Bay Rays","Andrew Friedman",64173500,0.556,2012,90,85753488
"491","Tampa Bay Rays","Andrew Friedman",57895272,0.564,2013,91,90385763
"492","Tampa Bay Rays","Andrew Friedman",77062891,0.475,2014,77,105625715
"493","Tampa Bay Rays","Andrew Friedman",73582652,0.494,2015,80,122453376
"494","Texas Rangers","Douglas Melvin",60519595,0.543,1998,88,43894495
"495","Texas Rangers","Douglas Melvin",81576598,0.586,1999,95,46066376
"496","Texas Rangers","Douglas Melvin",70795921,0.438,2000,71,56543084
"497","Texas Rangers","Douglas Melvin",88504421,0.451,2001,73,62847834
"498","Texas Rangers","John Hart",105302124,0.444,2002,72,61107577
"499","Texas Rangers","John Hart",103491667,0.438,2003,71,68979834
"500","Texas Rangers","John Hart",54825973,0.549,2004,89,62207785
"501","Texas Rangers","John Hart",55307258,0.488,2005,79,66007009
"502","Texas Rangers","Jon Daniels",68228662,0.494,2006,80,72250291
"503","Texas Rangers","Jon Daniels",68318675,0.463,2007,75,84616817
"504","Texas Rangers","Jon Daniels",67712326,0.488,2008,79,79953783
"505","Texas Rangers","Jon Daniels",68646023,0.537,2009,87,81309612
"506","Texas Rangers","Jon Daniels",55250545,0.556,2010,90,84325334
"507","Texas Rangers","Jon Daniels",92299265,0.593,2011,96,86713896
"508","Texas Rangers","Jon Daniels",120510974,0.574,2012,93,85753488
"509","Texas Rangers","Jon Daniels",114090100,0.558,2013,90,90385763
"510","Texas Rangers","Jon Daniels",136036172,0.414,2014,67,105625715
"511","Texas Rangers","Jon Daniels",152445607,0.543,2015,88,122453376
"512","Toronto Blue Jays","Gord Ash",34158500,0.543,1998,88,43894495
"513","Toronto Blue Jays","Gord Ash",48455333,0.519,1999,84,46066376
"514","Toronto Blue Jays","Gord Ash",46238333,0.512,2000,83,56543084
"515","Toronto Blue Jays","Gord Ash",75798500,0.494,2001,80,62847834
"516","Toronto Blue Jays","J.P. Ricciardi",76864333,0.481,2002,78,61107577
"517","Toronto Blue Jays","J.P. Ricciardi",51269000,0.531,2003,86,68979834
"518","Toronto Blue Jays","J.P. Ricciardi",50017000,0.416,2004,67,62207785
"519","Toronto Blue Jays","J.P. Ricciardi",45336500,0.494,2005,80,66007009
"520","Toronto Blue Jays","J.P. Ricciardi",71915000,0.537,2006,87,72250291
"521","Toronto Blue Jays","J.P. Ricciardi",81942800,0.512,2007,83,84616817
"522","Toronto Blue Jays","J.P. Ricciardi",97793900,0.531,2008,86,79953783
"523","Toronto Blue Jays","J.P. Ricciardi",80993657,0.463,2009,75,81309612
"524","Toronto Blue Jays","Alex Anthopoulos",62689357,0.525,2010,85,84325334
"525","Toronto Blue Jays","Alex Anthopoulos",62517800,0.5,2011,81,86713896
"526","Toronto Blue Jays","Alex Anthopoulos",75489200,0.451,2012,73,85753488
"527","Toronto Blue Jays","Alex Anthopoulos",117527800,0.457,2013,74,90385763
"528","Toronto Blue Jays","Alex Anthopoulos",132628700,0.512,2014,83,105625715
"529","Toronto Blue Jays","Alex Anthopoulos",138309664,0.574,2015,93,122453376
"530","Washington Nationals","Jim Bowden",48581500,0.5,2005,81,66007009
"531","Washington Nationals","Jim Bowden",63143000,0.438,2006,71,72250291
"532","Washington Nationals","Jim Bowden",37347500,0.451,2007,73,84616817
"533","Washington Nationals","Jim Bowden",54961000,0.366,2008,59,79953783
"534","Washington Nationals","Mike Rizzo",59328000,0.364,2009,59,81309612
"535","Washington Nationals","Mike Rizzo",61425000,0.426,2010,69,84325334
"536","Washington Nationals","Mike Rizzo",63681929,0.497,2011,81,86713896
"537","Washington Nationals","Mike Rizzo",81336143,0.605,2012,98,85753488
"538","Washington Nationals","Mike Rizzo",114056769,0.531,2013,86,90385763
"539","Washington Nationals","Mike Rizzo",134704437,0.593,2014,96,105625715
"540","Washington Nationals","Mike Rizzo",165655095,0.512,2015,83,122453376
"541","","",NA,NA,2016,NA,NA
