Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016,Quincy Acy,PF,25,SAC,59,29,876,119,214,19,49,100,165,50,68,65,123,188,27,29,24,27,103,307
2016,Jordan Adams,SG,21,MEM,2,0,15,2,6,0,1,2,5,3,5,0,2,2,3,3,0,2,2,7
2016,Steven Adams,C,22,OKC,80,80,2014,261,426,0,0,261,426,114,196,219,314,533,62,42,89,84,223,636
2016,Arron Afflalo,SG,30,NYK,71,57,2371,354,799,91,238,263,561,110,131,23,243,266,144,25,10,82,142,909
2016,Alexis Ajinca,C,27,NOP,59,17,861,150,315,0,1,150,314,52,62,75,194,269,31,19,36,54,134,352
2016,Cole Aldrich,C,27,LAC,60,5,800,134,225,0,0,134,225,60,84,86,202,288,50,47,68,64,139,328
2016,LaMarcus Aldridge,PF,30,SAS,74,74,2261,536,1045,0,16,536,1029,259,302,176,456,632,110,38,81,99,151,1331
2016,Cliff Alexander,PF,20,POR,8,0,36,5,10,0,0,5,10,0,0,2,4,6,0,1,2,1,1,10
2016,Lavoy Allen,PF,26,IND,79,28,1599,191,370,0,0,191,370,46,73,162,262,424,76,26,42,69,147,428
2016,Tony Allen,SG,34,MEM,64,57,1620,215,469,15,42,200,427,90,138,104,192,296,70,110,18,78,175,535
2016,Al-Farouq Aminu,SF,25,POR,82,82,2341,299,719,126,349,173,370,115,156,98,401,499,138,72,53,120,171,839
2016,Lou Amundson,PF,33,NYK,29,0,204,19,53,0,0,19,53,14,27,23,26,49,12,6,7,15,44,52
2016,Chris Andersen,C,37,TOT,27,15,402,38,72,4,14,34,58,25,36,36,62,98,12,15,13,9,29,105
2016,Chris Andersen,C,37,MIA,7,1,36,4,10,2,5,2,5,3,4,3,6,9,3,1,3,2,4,13
2016,Chris Andersen,C,37,MEM,20,14,366,34,62,2,9,32,53,22,32,33,56,89,9,14,10,7,25,92
2016,Alan Anderson,SG,33,WAS,13,0,192,21,59,12,37,9,22,11,15,1,26,27,14,4,1,2,25,65
2016,James Anderson,SG,26,SAC,51,15,721,67,178,23,86,44,92,22,29,13,73,86,41,21,14,42,54,179
2016,Justin Anderson,SF,22,DAL,55,9,647,71,175,22,83,49,92,44,55,18,114,132,29,19,25,24,45,208
2016,Kyle Anderson,SF,22,SAS,78,11,1245,138,295,12,37,126,258,62,83,25,219,244,123,60,29,59,97,350
2016,Ryan Anderson,PF,27,NOP,66,7,2008,397,929,131,358,266,571,199,228,131,265,396,73,38,25,90,109,1124
2016,Giannis Antetokounmpo,PG,21,MIL,80,79,2823,513,1013,28,109,485,904,296,409,113,499,612,345,94,113,208,258,1350
2016,Thanasis Antetokounmpo,SF,23,NYK,2,0,6,3,4,0,1,3,3,0,0,0,1,1,0,0,0,0,2,6
2016,Carmelo Anthony,SF,31,NYK,72,72,2530,567,1307,105,310,462,997,334,403,98,458,556,299,62,38,176,180,1573
2016,Joel Anthony,C,33,DET,19,0,96,6,10,0,0,6,10,6,8,8,13,21,1,2,12,2,15,18
2016,Keith Appling,PG,23,ORL,5,0,27,2,8,0,3,2,5,2,2,0,1,1,1,1,0,3,5,6
2016,Trevor Ariza,SF,30,HOU,81,81,2859,357,859,185,499,172,360,126,161,67,299,366,188,160,26,113,177,1025
2016,Darrell Arthur,PF,27,DEN,70,16,1516,221,489,45,117,176,372,40,53,86,207,293,96,53,48,66,185,527
2016,Omer Asik,C,29,NOP,68,64,1178,104,195,0,0,104,195,61,112,120,294,414,26,21,23,60,124,269
2016,D.J. Augustin,PG,28,TOT,62,0,1178,148,350,68,168,80,182,103,128,8,87,95,198,38,4,84,85,467
2016,D.J. Augustin,PG,28,OKC,34,0,519,46,121,24,61,22,60,26,34,5,38,43,66,13,2,30,41,142
2016,D.J. Augustin,PG,28,DEN,28,0,659,102,229,44,107,58,122,77,94,3,49,52,132,25,2,54,44,325
2016,Jeff Ayres,C,28,LAC,17,0,107,12,23,0,1,12,22,6,6,4,18,22,5,0,3,6,18,30
2016,Luke Babbitt,SF,26,NOP,47,13,845,122,289,44,109,78,180,39,50,25,123,148,53,11,7,23,90,327
2016,Cameron Bairstow,C,25,CHI,18,2,103,13,40,1,5,12,35,7,8,4,24,28,6,2,3,4,19,34
2016,Leandro Barbosa,SG,33,GSW,68,0,1079,171,370,39,110,132,260,52,62,28,89,117,82,44,10,53,107,433
2016,J.J. Barea,PG,31,DAL,74,16,1667,317,711,100,260,217,451,74,96,26,126,152,302,26,2,113,110,808
2016,Andrea Bargnani,C,30,BRK,46,0,634,127,279,3,16,124,263,47,57,28,69,97,18,4,9,26,61,304
2016,Harrison Barnes,SF,23,GSW,66,59,2042,295,633,82,214,213,419,102,134,77,248,325,117,41,10,57,136,774
2016,Matt Barnes,SF,35,MEM,76,45,2190,264,693,119,370,145,323,111,138,84,336,420,163,78,57,121,234,758
2016,Will Barton,SG,25,DEN,82,1,2353,425,983,112,325,313,658,216,268,59,417,476,203,71,39,139,147,1178
2016,Brandon Bass,PF,30,LAL,66,0,1342,174,317,0,2,174,315,125,148,104,181,285,74,33,55,42,125,473
2016,Nicolas Batum,SF,27,CHO,70,70,2448,372,873,139,399,233,474,163,192,55,373,428,403,65,43,205,114,1046
2016,Jerryd Bayless,SG,27,MIL,52,18,1505,185,437,101,231,84,206,70,90,21,120,141,163,47,11,73,111,541
2016,Aron Baynes,C,29,DET,81,1,1233,194,384,0,2,194,382,126,165,140,244,384,51,21,52,67,151,514
2016,Kent Bazemore,SF,26,ATL,75,68,2083,320,725,109,305,211,420,123,151,28,351,379,171,98,38,138,176,872
2016,Bradley Beal,SG,22,WAS,55,35,1708,359,799,105,271,254,528,135,176,41,147,188,162,54,11,112,117,958
2016,Michael Beasley,PF,27,HOU,20,0,363,107,205,3,9,104,196,38,49,29,69,98,16,11,9,24,39,255
2016,Marco Belinelli,SG,29,SAC,68,7,1672,245,635,91,297,154,338,115,138,10,107,117,127,37,2,80,91,696
2016,Anthony Bennett,PF,22,TOR,19,0,84,8,27,3,14,5,13,9,10,6,17,23,0,5,0,4,8,28
2016,Patrick Beverley,PG,27,HOU,71,63,2041,258,594,124,310,134,284,60,88,73,177,250,239,94,26,91,234,700
2016,Bismack Biyombo,C,23,TOR,82,22,1808,156,288,0,1,156,287,142,226,182,473,655,29,19,133,71,225,454
2016,Nemanja Bjelica,PF,27,MIN,60,0,1075,110,235,48,125,62,110,40,55,49,161,210,83,26,21,47,154,308
2016,Tarik Black,C,24,LAL,39,0,496,57,104,0,0,57,104,19,45,44,113,157,16,14,18,22,78,133
2016,DeJuan Blair,C,26,WAS,29,0,218,28,68,0,1,28,67,5,13,20,37,57,11,8,2,15,53,61
2016,Steve Blake,PG,35,DET,58,2,986,93,240,52,151,41,89,16,20,9,80,89,200,24,5,81,70,254
2016,Eric Bledsoe,PG,26,PHO,31,31,1059,223,492,48,129,175,363,138,172,18,107,125,190,63,19,110,75,632
2016,Bojan Bogdanovic,SF,26,BRK,79,39,2115,324,749,129,338,195,411,110,132,36,219,255,99,29,5,115,119,887
2016,Andrew Bogut,C,31,GSW,70,66,1451,175,279,1,1,174,278,24,50,121,371,492,162,33,114,83,221,375
2016,Matt Bonner,C,35,SAS,30,2,206,29,57,15,34,14,23,3,4,3,24,27,9,6,1,3,16,76
2016,Devin Booker,SG,19,PHO,76,51,2108,367,867,99,289,268,578,215,256,27,160,187,200,44,20,160,225,1048
2016,Trevor Booker,PF,28,UTA,79,2,1632,190,388,12,41,178,347,71,106,166,286,452,84,59,41,81,169,463
2016,Chris Bosh,PF,31,MIA,53,53,1778,358,767,81,222,277,545,213,268,48,342,390,128,36,34,78,101,1010
2016,Avery Bradley,SG,25,BOS,76,72,2536,456,1019,147,407,309,612,96,123,48,172,220,158,117,19,109,164,1155
2016,Elton Brand,C,36,PHI,17,1,225,31,72,0,1,31,71,8,9,9,54,63,18,9,8,11,32,70
2016,Corey Brewer,SF,29,HOU,82,12,1669,212,552,61,224,151,328,105,140,42,157,199,109,84,19,78,168,590
2016,Aaron Brooks,PG,31,CHI,69,0,1108,188,469,66,185,122,284,49,64,21,80,101,180,30,10,82,132,491
2016,Anthony Brown,SF,23,LAL,29,11,599,39,126,20,70,19,56,17,20,9,61,70,19,14,5,15,34,115
2016,Lorenzo Brown,PG,25,PHO,8,0,61,8,25,1,8,7,17,3,4,0,7,7,11,3,1,9,4,20
2016,Markel Brown,SG,24,BRK,62,6,982,127,322,38,121,89,201,71,94,23,99,122,91,38,15,54,94,363
2016,Kobe Bryant,SF,37,LAL,66,66,1863,398,1113,133,467,265,646,232,281,41,206,247,184,62,13,129,115,1161
2016,Chase Budinger,SF,27,TOT,66,2,929,104,239,24,86,80,153,39,56,43,107,150,64,32,10,44,62,271
2016,Chase Budinger,SF,27,IND,49,2,729,81,194,20,69,61,125,34,48,31,90,121,49,29,9,31,46,216
2016,Chase Budinger,SF,27,PHO,17,0,200,23,45,4,17,19,28,5,8,12,17,29,15,3,1,13,16,55
2016,Reggie Bullock,SF,24,DET,37,0,429,43,98,22,53,21,45,14,15,14,54,68,27,10,2,8,29,122
2016,Trey Burke,PG,23,UTA,64,0,1366,262,634,88,256,174,378,67,82,18,94,112,148,35,6,80,86,679
2016,Alec Burks,SG,24,UTA,31,3,797,137,334,32,79,105,255,106,141,16,93,109,63,18,4,51,71,412
2016,Caron Butler,SF,35,SAC,17,1,176,25,59,3,18,22,41,10,12,5,17,22,10,9,1,3,19,63
2016,Jimmy Butler,SG,26,CHI,67,67,2474,470,1035,64,205,406,830,395,475,79,279,358,321,110,43,132,124,1399
2016,Rasual Butler,SF,36,SAS,46,0,432,49,104,15,49,34,55,11,16,3,53,56,24,13,23,8,11,124
